Year      Month  Day    Hour  PWV
2010      2      3      9     NaN
2010      2      3     12     NaN
2010      2      3     15     1.377
2010      2      3     18     1.717
2010      2      3     21     3.594
2010      2      4      0     3.104
2010      2      4      3     1.405
2010      2      4      6     0.734
2010      2      4      9     0.687
2010      2      4     12     0.731
2010      2      4     15     1.002
2010      2      4     18     1.735
2010      2      4     21     2.805
2010      2      5      0     3.529
2010      2      5      3     2.836
2010      2      5      6     5.645
2010      2      5      9     6.294
2010      2      5     12     5.925
2010      2      5     15     4.968
2010      2      5     18     NaN
2010      2      5     21     NaN
2010      2      6      0     NaN
2010      2      6      3     NaN
2010      2      6      6     NaN
2010      2      6      9     NaN
2010      2      6     12     NaN
2010      2      6     15     NaN
2010      2      6     18     6.842
2010      2      6     21     6.362
2010      2      7      0     NaN
2010      2      7      3     NaN
2010      2      7      6     NaN
2010      2      7      9     NaN
2010      2      7     12     3.467
2010      2      7     15     3.966
2010      2      7     18     4.875
2010      2      7     21     4.024
2010      2      8      0     5.338
2010      2      8      3     4.483
2010      2      8      6     4.156
2010      2      8      9     4.100
2010      2      8     12     3.785
2010      2      8     15     4.366
2010      2      8     18     4.149
2010      2      8     21     3.605
2010      2      9      0     3.291
2010      2      9      3     3.334
2010      2      9      6     2.388
2010      2      9      9     2.163
2010      2      9     12     1.312
2010      2      9     15     1.382
2010      2      9     18     NaN
2010      2      9     21     NaN
2010      2     10      0     2.205
2010      2     10      3     1.577
2010      2     10      6     1.747
2010      2     10      9     1.598
2010      2     10     12     1.056
2010      2     10     15     1.391
2010      2     10     18     1.796
2010      2     10     21     1.546
2010      2     11      0     1.319
2010      2     11      3     0.801
2010      2     11      6     0.921
2010      2     11      9     1.724
2010      2     11     12     1.966
2010      2     11     15     3.213
2010      2     11     18     4.357
2010      2     11     21     5.249
2010      2     12      0     6.525
2010      2     12      3     5.365
2010      2     12      6     5.160
2010      2     12      9     4.160
2010      2     12     12     4.865
2010      2     12     15     3.818
